ENSG	name	logFC	P.Value
ENSG00000198858	R3HDM4	 3.24e-01	3.91e-10
ENSG00000184602	SNN	 5.30e-01	4.70e-08
ENSG00000006327	TNFRSF12A	 1.26e+00	9.68e-08
ENSG00000196458	ZNF605	-3.45e-01	2.38e-07
ENSG00000131759	RARA	 4.11e-01	3.67e-07
ENSG00000197054	ZNF763	-6.25e-01	4.09e-07
ENSG00000101665	SMAD7	 5.07e-01	1.41e-06
ENSG00000205765	C5orf51	-3.66e-01	1.45e-06
ENSG00000163644	PPM1K	-6.53e-01	1.56e-06
ENSG00000149489	ROM1	 4.72e-01	1.78e-06
ENSG00000149300	C11orf52	 6.75e-01	2.13e-06
ENSG00000127507	ADGRE2	 6.79e-01	2.82e-06
ENSG00000110367	DDX6	-1.79e-01	2.88e-06
ENSG00000162944	RFTN2	-3.65e-01	3.02e-06
ENSG00000102984	ZNF821	 3.50e-01	3.10e-06
ENSG00000159714	ZDHHC1	 3.47e-01	3.45e-06
ENSG00000137274	BPHL	-3.21e-01	3.64e-06
ENSG00000140465	CYP1A1	 4.07e+00	4.16e-06
ENSG00000108840	HDAC5	 2.69e-01	4.34e-06
ENSG00000135018	UBQLN1	 1.56e-01	4.62e-06
ENSG00000075651	PLD1	-2.98e-01	4.75e-06
ENSG00000242110	AMACR	-6.35e-01	5.06e-06
ENSG00000108469	RECQL5	-2.29e-01	5.52e-06
ENSG00000272899	RP11-309L24.4	 1.26e+00	6.03e-06
ENSG00000172296	SPTLC3	-3.99e-01	6.31e-06
ENSG00000131652	THOC6	 3.78e-01	7.87e-06
ENSG00000139269	INHBE	 7.19e-01	8.24e-06
ENSG00000087338	GMCL1	-2.41e-01	8.98e-06
ENSG00000130304	SLC27A1	-3.66e-01	9.25e-06
ENSG00000141664	ZCCHC2	 3.49e-01	9.47e-06
ENSG00000174996	KLC2	 2.87e-01	9.51e-06
ENSG00000181666	HKR1	-2.07e-01	1.04e-05
ENSG00000169247	SH3TC2	-4.56e-01	1.06e-05
ENSG00000254470	AP5B1	 2.95e-01	1.06e-05
ENSG00000103313	MEFV	 8.44e-01	1.07e-05
ENSG00000145808	ADAMTS19	 9.60e-01	1.10e-05
ENSG00000123689	G0S2	 1.04e+00	1.16e-05
ENSG00000161914	ZNF653	 3.20e-01	1.16e-05
ENSG00000161048	NAPEPLD	-3.23e-01	1.29e-05
ENSG00000141002	TCF25	 1.72e-01	1.31e-05
ENSG00000114315	HES1	 8.38e-01	1.33e-05
ENSG00000090372	STRN4	 1.95e-01	1.44e-05
ENSG00000073910	FRY	-3.62e-01	1.50e-05
ENSG00000123159	GIPC1	 2.55e-01	1.54e-05
ENSG00000168994	PXDC1	 4.06e-01	1.59e-05
ENSG00000177283	FZD8	 3.45e-01	1.62e-05
ENSG00000166974	MAPRE2	 3.00e-01	1.69e-05
ENSG00000142065	ZFP14	-2.56e-01	1.70e-05
ENSG00000177030	DEAF1	 3.03e-01	1.70e-05
ENSG00000168621	GDNF	 1.18e+00	1.77e-05
ENSG00000102384	CENPI	-3.15e-01	1.78e-05
ENSG00000168300	PCMTD1	-2.33e-01	1.81e-05
ENSG00000163435	ELF3	 5.26e-01	1.92e-05
ENSG00000218823	PAPOLB	-7.32e-01	1.94e-05
ENSG00000172183	ISG20	 4.58e-01	2.09e-05
ENSG00000162722	TRIM58	 1.09e+00	2.13e-05
ENSG00000257950	P2RX5-TAX1BP3	 5.60e-01	2.14e-05
ENSG00000160563	MED27	 1.99e-01	2.15e-05
ENSG00000128383	APOBEC3A	 1.20e+00	2.33e-05
ENSG00000223547	ZNF844	-4.28e-01	2.40e-05
ENSG00000168646	AXIN2	 3.74e-01	2.43e-05
ENSG00000156398	SFXN2	-4.70e-01	2.46e-05
ENSG00000158578	ALAS2	 1.40e+00	2.62e-05
ENSG00000005486	RHBDD2	 2.70e-01	2.69e-05
ENSG00000013563	DNASE1L1	 2.45e-01	2.80e-05
ENSG00000145390	USP53	-1.93e-01	2.83e-05
ENSG00000196081	ZNF724P	-3.44e-01	3.11e-05
ENSG00000163545	NUAK2	 5.36e-01	3.16e-05
ENSG00000227124	ZNF717	-2.26e-01	3.32e-05
ENSG00000156958	GALK2	-2.04e-01	3.45e-05
ENSG00000114735	HEMK1	-2.35e-01	3.75e-05
ENSG00000118200	CAMSAP2	 2.89e-01	3.83e-05
ENSG00000188811	NHLRC3	-1.30e-01	3.91e-05
ENSG00000163421	PROK2	 1.25e+00	3.91e-05
ENSG00000092068	SLC7A8	-4.59e-01	4.15e-05
ENSG00000163516	ANKZF1	-2.05e-01	4.27e-05
ENSG00000008516	MMP25	 9.30e-01	4.40e-05
