pathway	n_measured_genes	enriched_class	perc_signif_padj_0.05	ES_median	pval_median	padj_median	n_leading_edge_genes	leading_edge_genes
HALLMARK_TNFA_SIGNALING_VIA_NFKB	191	Cases	100	0.477453812271866	6.005101245119e-07	1.16071545561906e-05	64	ABCA1,ATP2B1,B4GALT5,BCL2A1,BCL3,BHLHE40,CCL2,CCL5,CLCF1,CSF1,CXCL1,CXCL2,DENND5A,DNAJB4,DUSP1,DUSP4,EHD1,ETS2,FJX1,FOSL1,G0S2,GADD45B,HBEGF,HES1,IL15RA,IL18,IL1B,IL7R,IRF1,KLF10,LITAF,MAFF,MAP2K3,MAP3K8,MYC,NFE2L2,NFIL3,NFKB1,NFKBIE,NR4A1,NR4A3,PDE4B,PER1,PHLDA1,PTPRE,RCAN1,RELA,RELB,RIPK2,RNF19B,SDC4,SLC2A3,SNN,TANK,TGIF1,TLR2,TNFAIP3,TNFAIP6,TNFSF9,TNIP2,TRIP10,TUBB2A,YRDC,ZC3H12A
HALLMARK_INFLAMMATORY_RESPONSE	176	Cases	100	0.486983572878066	6.17178282862154e-07	1.1961374735831e-05	64	ABCA1,ACVR1B,ADGRE1,ADM,ADRM1,AQP9,ATP2B1,C5AR1,CCL2,CCL5,CCR7,CD48,CHST2,CSF1,CSF3R,CXCL8,FFAR2,FPR1,HBEGF,HRH1,IL15RA,IL18,IL18RAP,IL1B,IL1R1,IL2RB,IL4R,IL7R,IRF1,IRF7,KCNA3,LCK,LY6E,LYN,MEFV,MYC,NFKB1,NLRP3,NOD2,OSM,P2RY2,PDE4B,PDPN,PIK3R5,PLAUR,PROK2,PTGIR,PTPRE,PVR,RAF1,RELA,RGS16,RHOG,RIPK2,SELE,SELENOS,SELL,SEMA4D,SLC31A1,SLC7A1,TLR2,TNFAIP6,TNFRSF1B,TNFSF9
HALLMARK_ESTROGEN_RESPONSE_EARLY	185	Cases	100	0.445671674245823	2.38273594545345e-05	0.000297841993181681	40	ABCA3,ABHD2,AMFR,AR,BAG1,BHLHE40,DYNLT3,ELF1,ELF3,FCMR,FHL2,HES1,HSPB8,INHBB,ITPK1,KLF10,MINDY1,MYBL1,MYC,NXT1,OLFM1,P2RY2,PDLIM3,PDZK1,RAB17,RARA,RRP12,SCARB1,SCNN1A,SIAH2,SLC1A1,SLC26A2,SLC37A1,SLC7A5,STC2,TBC1D30,TSKU,TTC39A,UGCG,XBP1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	112	Cases	100	0.482045116540085	0.000128748019757868	0.00113477958003354	38	ATF4,ATF6,ATP6V0D1,BAG3,CCL2,CEBPG,CHAC1,DCP1A,DKC1,DNAJB9,DNAJC3,EDC4,EIF4A1,EIF4A2,EIF4E,EIF4G1,ERO1A,EXOSC1,EXOSC4,EXOSC9,H2AX,HSPA5,IMP3,KIF5B,MTHFD2,NHP2,NOLC1,NOP56,NPM1,POP4,SLC7A5,SPCS1,SRPRA,STC2,TUBB2A,XBP1,YIF1A,YWHAZ
HALLMARK_IL6_JAK_STAT3_SIGNALING	80	Cases	100	0.525245382068778	0.000132300757246781	0.00114943001759387	24	ACVR1B,ACVRL1,CSF1,CSF2RB,CSF3R,IL10RB,IL12RB1,IL13RA1,IL15RA,IL1B,IL1R1,INHBE,IRF1,LTB,MAP3K8,MYD88,PF4,PIM1,PTPN1,PTPN11,TLR2,TNFRSF12A,TNFRSF1A,TNFRSF1B
HALLMARK_MYC_TARGETS_V1	200	Cases	100	0.41328069759109	0.00020891240012812	0.00152197354347186	77	ACP1,AIMP2,CBX3,CCT2,CCT3,CCT5,CCT7,CDK4,CLNS1A,CNBP,CTPS1,CUL1,DDX21,EEF1B2,EIF3B,EIF3D,EIF4A1,EIF4E,EIF4H,ERH,ETF1,GLO1,GNL3,HDGF,HNRNPA1,HPRT1,IFRD1,ILF2,IMPDH2,KARS1,KPNA2,LSM2,MCM6,MRPL23,MYC,NAP1L1,NHP2,NME1,NOLC1,NOP56,NPM1,ODC1,POLD2,POLE3,PPM1G,PRDX4,PSMA1,PSMA2,PSMB2,PSMB3,PSMC4,PSMC6,PSMD14,PSMD3,PSMD7,PSMD8,RAD23B,RAN,RNPS1,RPLP0,RPS10,RRP9,RUVBL2,SET,SMARCC1,SNRPA,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SRM,SRSF7,TRIM28,TXNL4A,UBA2,XRCC6,YWHAQ
HALLMARK_ALLOGRAFT_REJECTION	179	Cases	100	0.40025183227574	0.00120237987976111	0.0066833110026445	75	APBB1,BCL3,CCL2,CCL5,CCR1,CD247,CD3D,CD7,CD8A,CD96,CFP,CSF1,DEGS1,EIF3A,EIF3D,EIF4G3,EIF5A,ELF4,F2R,FASLG,FGR,FYB1,GALNT1,GPR65,GZMB,HLA-A,IFNAR2,IL12A,IL12RB1,IL18,IL18RAP,IL1B,IL27RA,IL2RB,IL2RG,IL4R,IL6,INHBB,IRF4,IRF7,ITGAL,ITGB2,ITK,JAK2,KLRD1,KRT1,LCK,LIF,LTB,LYN,MAP3K7,MMP9,NCF4,NCK1,NLRP3,NME1,NPM1,PF4,PRF1,PRKCB,PTPN6,PTPRC,RIPK2,RPS19,RPS9,SIT1,SPI1,SRGN,TGFB2,TLR2,TLR6,UBE2N,WARS1,WAS,ZAP70
HALLMARK_TGF_BETA_SIGNALING	54	Cases	100	0.523331013286745	0.00276265541760611	0.0134516156569983	14	ACVR1,BMPR1A,ENG,KLF10,LEFTY2,LTBP2,MAP3K7,PPP1CA,RHOA,SKIL,SMAD1,SMAD7,SMURF1,TGIF1
HALLMARK_HEME_METABOLISM	186	Cases	100	0.381362383633131	0.0035551763367463	0.0159789788463028	49	ADIPOR1,AHSP,ALAS2,ATG4A,BACH1,BLVRA,BNIP3L,CA1,CAST,CDC27,E2F2,EIF2AK1,EPB42,FBXO9,H1-0,HAGH,HBB,HBD,HDGF,HTATIP2,LMO2,MAP2K3,MARCHF2,MARCHF8,MARK3,MGST3,MKRN1,MXI1,NARF,NFE2,PDZK1IP1,PGLS,PIGQ,PPP2R5B,PSMD9,RAD23A,RIOK3,RNF19A,SEC14L1,SLC10A3,SLC25A37,SLC4A1,SLC66A2,SLC7A11,SMOX,SNCA,TMEM9B,TRIM58,TSPAN5
HALLMARK_MTORC1_SIGNALING	200	Cases	100	0.369232880196018	0.0051539215589449	0.0205877517996496	69	ABCF2,ACACA,ACSL3,ARPC5L,BHLHE40,CCNF,CCT6A,CFP,CORO1A,CXCR4,DAPP1,DHCR24,DHFR,EBP,ERO1A,ETF1,FKBP2,GBE1,GLA,GLRX,GSR,HK2,HPRT1,HSPA4,HSPA5,IFRD1,ITGB2,MAP2K3,ME1,MTHFD2,MTHFD2L,NFIL3,NFKBIB,NMT1,NUPR1,P4HA1,PDAP1,PNO1,PRDX1,PSMB5,PSMC4,PSMC6,PSMD13,PSMD14,PSME3,PSMG1,RPN1,RRP9,SDF2L1,SLA,SLC1A4,SLC1A5,SLC2A3,SLC7A11,SLC7A5,SQSTM1,STC1,STIP1,TES,TM7SF2,TMEM97,TOMM40,TUBA4A,TUBG1,TXNRD1,USO1,WARS1,XBP1,YKT6
HALLMARK_IL2_STAT5_SIGNALING	191	Cases	100	0.360875629859097	0.0103085504997423	0.0351852344790938	49	ADAM19,AHCY,BATF,BCL2L1,BHLHE40,CASP3,CCNE1,CD48,CKAP4,CSF1,DENND5A,F2RL2,FLT3LG,FURIN,GABARAPL1,GADD45B,HK2,IFITM3,IL1RL1,IL2RB,IL4R,IRF4,ITGAE,LTB,MAFF,MAP3K8,MAPKAPK2,MYC,NFIL3,NFKBIZ,ODC1,P4HA1,PDCD2L,PHLDA1,PIM1,PLPP1,POU2F1,PRAF2,RGS16,RHOH,RNH1,SELL,SLC1A5,SLC2A3,SPRED2,SYNGR2,TNFRSF1B,UCK2,XBP1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	40	Cases	99.8	0.522550411384079	0.0108045212765957	0.0360729259302025	11	ADAM17,AXIN1,AXIN2,DKK1,FZD8,HDAC5,HEY1,HEY2,LEF1,MYC,TCF7
HALLMARK_PI3K_AKT_MTOR_SIGNALING	102	Cases	98.7	0.409243869567654	0.0123858182381174	0.0389793124429571	46	ACACA,ACTR2,ADCY2,AKT1S1,ARF1,ARHGDIA,ATF1,CAB39,CDK4,CDKN1A,CSNK2B,CXCR4,DAPP1,DUSP3,E2F1,EIF4E,FASLG,FGF6,GNA14,GRB2,GRK2,GSK3B,HRAS,IL2RG,LCK,MAP2K3,MAP3K7,MAPK1,MAPKAP1,MYD88,NCK1,NFKBIB,NGF,PFN1,PPP1CA,PRKCB,PTPN11,RAC1,RAF1,SLA,SLC2A1,SQSTM1,THEM4,TNFRSF1A,UBE2N,VAV3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	Controls	100	-0.50183225366008	5.38511698216427e-11	2.69255849108214e-09	113	ACAA2,ACADSB,ACAT1,ACO2,AFG3L2,AIFM1,ALAS1,ALDH6A1,ATP5F1A,ATP5F1B,ATP5MC1,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PB,ATP5PD,ATP5PF,ATP5PO,COX10,COX6A1,COX6B1,COX6C,COX7B,COX7C,CS,CYC1,CYCS,DECR1,DLAT,DLD,DLST,ECH1,ECHS1,ETFA,ETFB,ETFDH,FH,GLUD1,GOT2,GPI,HADHA,HADHB,HSPA9,IDH1,IMMT,ISCU,LDHB,LRPPRC,MDH1,MFN2,MPC1,MRPL15,MRPS22,MRPS30,MTRF1,MTRR,MTX2,NDUFA1,NDUFA3,NDUFA5,NDUFA6,NDUFA8,NDUFA9,NDUFAB1,NDUFB1,NDUFB2,NDUFB3,NDUFB5,NDUFB8,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NNT,OGDH,PDHA1,PDHB,PDK4,PHYH,RETSAT,RHOT1,RHOT2,SDHA,SDHB,SDHC,SDHD,SLC25A11,SLC25A12,SLC25A3,SLC25A4,SLC25A6,SUCLA2,SUCLG1,SUPV3L1,TIMM17A,TIMM50,TOMM70,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ,VDAC2,VDAC3
HALLMARK_FATTY_ACID_METABOLISM	150	Controls	100	-0.385164682778854	0.000705891023226638	0.00436586560287618	66	AADAT,ACAA2,ACADS,ACO2,ACOT2,ACSL1,ACSL5,ACSM3,ADH1C,ADIPOR2,ALAD,ALDH1A1,AOC3,AQP7,BCKDHB,BPHL,CA4,CBR3,CCDC58,CD36,CEL,CIDEA,CPOX,CPT2,D2HGDH,DECR1,DLD,DLST,ECH1,ECHS1,ECI2,EHHADH,ENO3,EPHX1,ETFDH,FH,FMO1,GCDH,GLUL,HADHB,HIBCH,HMGCL,HSD17B11,HSD17B4,HSDL2,HSP90AA1,IDH1,INMT,LTC4S,MCEE,MDH1,MLYCD,OSTC,PDHA1,PDHB,PPARA,PRDX6,PTPRG,RETSAT,SDHA,SDHC,SDHD,SUCLA2,SUCLG1,SUCLG2,UGDH
HALLMARK_ADIPOGENESIS	197	Controls	100	-0.332481540349035	0.00534078760908372	0.0212142223807073	54	ABCB8,ACAA2,ACO2,AIFM1,ALDH2,ANGPT1,ATP5PO,C3,CD36,CDKN2C,CHCHD10,CIDEA,COL15A1,COQ3,COQ5,COQ9,COX7B,CYP4B1,DBT,DECR1,DLAT,DLD,DRAM2,ECHS1,ELMOD3,ETFB,FZD4,GPAM,HIBCH,IDH1,IMMT,ITSN1,LIFR,LPL,MCCC1,MIGA2,MRPL15,MTARC2,MYLK,NABP1,NDUFA5,NDUFAB1,NDUFS3,PDCD4,PFKL,PHYH,PTCD3,SCP2,SDHC,SLC27A1,SOWAHC,SPARCL1,SUCLG1,UBC
