leading_edge_gene	n_pathways	pathways
MYC	6	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_MYC_TARGETS_V1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_WNT_BETA_CATENIN_SIGNALING
CSF1	5	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
BHLHE40	4	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
CCL2	4	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
IL1B	4	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
MAP2K3	4	HALLMARK_HEME_METABOLISM,HALLMARK_MTORC1_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB
TLR2	4	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
XBP1	4	HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
ACAA2	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACO2	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
CCL5	3	HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB
DECR1	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
DLD	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ECHS1	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
EIF4E	3	HALLMARK_MYC_TARGETS_V1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_UNFOLDED_PROTEIN_RESPONSE
IDH1	3	HALLMARK_ADIPOGENESIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION
