pathway	n_measured_genes	enriched_class	perc_signif_padj_0.05	ES_median	pval_median	padj_median	n_leading_edge_genes	leading_edge_genes
HALLMARK_TNFA_SIGNALING_VIA_NFKB	191	Cases	100.0	 0.4774538	6.005101e-07	1.160715e-05	 64	ABCA1,ATP2B1,B4GALT5,BCL2A1,BCL3,BHLHE40,CCL2,CCL5,CLCF1,CSF1,CXCL1,CXCL2,DENND5A,DNAJB4,DUSP1,DUSP4,EHD1,ETS2,FJX1,FOSL1,G0S2,GADD45B,HBEGF,HES1,IL15RA,IL18,IL1B,IL7R,IRF1,KLF10,LITAF,MAFF,MAP2K3,MAP3K8,MYC,NFE2L2,NFIL3,NFKB1,NFKBIE,NR4A1,NR4A3,PDE4B,PER1,PHLDA1,PTPRE,RCAN1,RELA,RELB,RIPK2,RNF19B,SDC4,SLC2A3,SNN,TANK,TGIF1,TLR2,TNFAIP3,TNFAIP6,TNFSF9,TNIP2,TRIP10,TUBB2A,YRDC,ZC3H12A
HALLMARK_INFLAMMATORY_RESPONSE	176	Cases	100.0	 0.4869836	6.171783e-07	1.196137e-05	 64	ABCA1,ACVR1B,ADGRE1,ADM,ADRM1,AQP9,ATP2B1,C5AR1,CCL2,CCL5,CCR7,CD48,CHST2,CSF1,CSF3R,CXCL8,FFAR2,FPR1,HBEGF,HRH1,IL15RA,IL18,IL18RAP,IL1B,IL1R1,IL2RB,IL4R,IL7R,IRF1,IRF7,KCNA3,LCK,LY6E,LYN,MEFV,MYC,NFKB1,NLRP3,NOD2,OSM,P2RY2,PDE4B,PDPN,PIK3R5,PLAUR,PROK2,PTGIR,PTPRE,PVR,RAF1,RELA,RGS16,RHOG,RIPK2,SELE,SELENOS,SELL,SEMA4D,SLC31A1,SLC7A1,TLR2,TNFAIP6,TNFRSF1B,TNFSF9
HALLMARK_ESTROGEN_RESPONSE_EARLY	185	Cases	100.0	 0.4456717	2.382736e-05	2.978420e-04	 40	ABCA3,ABHD2,AMFR,AR,BAG1,BHLHE40,DYNLT3,ELF1,ELF3,FCMR,FHL2,HES1,HSPB8,INHBB,ITPK1,KLF10,MINDY1,MYBL1,MYC,NXT1,OLFM1,P2RY2,PDLIM3,PDZK1,RAB17,RARA,RRP12,SCARB1,SCNN1A,SIAH2,SLC1A1,SLC26A2,SLC37A1,SLC7A5,STC2,TBC1D30,TSKU,TTC39A,UGCG,XBP1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	112	Cases	100.0	 0.4820451	1.287480e-04	1.134780e-03	 38	ATF4,ATF6,ATP6V0D1,BAG3,CCL2,CEBPG,CHAC1,DCP1A,DKC1,DNAJB9,DNAJC3,EDC4,EIF4A1,EIF4A2,EIF4E,EIF4G1,ERO1A,EXOSC1,EXOSC4,EXOSC9,H2AX,HSPA5,IMP3,KIF5B,MTHFD2,NHP2,NOLC1,NOP56,NPM1,POP4,SLC7A5,SPCS1,SRPRA,STC2,TUBB2A,XBP1,YIF1A,YWHAZ
HALLMARK_IL6_JAK_STAT3_SIGNALING	 80	Cases	100.0	 0.5252454	1.323008e-04	1.149430e-03	 24	ACVR1B,ACVRL1,CSF1,CSF2RB,CSF3R,IL10RB,IL12RB1,IL13RA1,IL15RA,IL1B,IL1R1,INHBE,IRF1,LTB,MAP3K8,MYD88,PF4,PIM1,PTPN1,PTPN11,TLR2,TNFRSF12A,TNFRSF1A,TNFRSF1B
HALLMARK_MYC_TARGETS_V1	200	Cases	100.0	 0.4132807	2.089124e-04	1.521974e-03	 77	ACP1,AIMP2,CBX3,CCT2,CCT3,CCT5,CCT7,CDK4,CLNS1A,CNBP,CTPS1,CUL1,DDX21,EEF1B2,EIF3B,EIF3D,EIF4A1,EIF4E,EIF4H,ERH,ETF1,GLO1,GNL3,HDGF,HNRNPA1,HPRT1,IFRD1,ILF2,IMPDH2,KARS1,KPNA2,LSM2,MCM6,MRPL23,MYC,NAP1L1,NHP2,NME1,NOLC1,NOP56,NPM1,ODC1,POLD2,POLE3,PPM1G,PRDX4,PSMA1,PSMA2,PSMB2,PSMB3,PSMC4,PSMC6,PSMD14,PSMD3,PSMD7,PSMD8,RAD23B,RAN,RNPS1,RPLP0,RPS10,RRP9,RUVBL2,SET,SMARCC1,SNRPA,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SRM,SRSF7,TRIM28,TXNL4A,UBA2,XRCC6,YWHAQ
HALLMARK_ALLOGRAFT_REJECTION	179	Cases	100.0	 0.4002518	1.202380e-03	6.683311e-03	 75	APBB1,BCL3,CCL2,CCL5,CCR1,CD247,CD3D,CD7,CD8A,CD96,CFP,CSF1,DEGS1,EIF3A,EIF3D,EIF4G3,EIF5A,ELF4,F2R,FASLG,FGR,FYB1,GALNT1,GPR65,GZMB,HLA-A,IFNAR2,IL12A,IL12RB1,IL18,IL18RAP,IL1B,IL27RA,IL2RB,IL2RG,IL4R,IL6,INHBB,IRF4,IRF7,ITGAL,ITGB2,ITK,JAK2,KLRD1,KRT1,LCK,LIF,LTB,LYN,MAP3K7,MMP9,NCF4,NCK1,NLRP3,NME1,NPM1,PF4,PRF1,PRKCB,PTPN6,PTPRC,RIPK2,RPS19,RPS9,SIT1,SPI1,SRGN,TGFB2,TLR2,TLR6,UBE2N,WARS1,WAS,ZAP70
HALLMARK_TGF_BETA_SIGNALING	 54	Cases	100.0	 0.5233310	2.762655e-03	1.345162e-02	 14	ACVR1,BMPR1A,ENG,KLF10,LEFTY2,LTBP2,MAP3K7,PPP1CA,RHOA,SKIL,SMAD1,SMAD7,SMURF1,TGIF1
HALLMARK_HEME_METABOLISM	186	Cases	100.0	 0.3813624	3.555176e-03	1.597898e-02	 49	ADIPOR1,AHSP,ALAS2,ATG4A,BACH1,BLVRA,BNIP3L,CA1,CAST,CDC27,E2F2,EIF2AK1,EPB42,FBXO9,H1-0,HAGH,HBB,HBD,HDGF,HTATIP2,LMO2,MAP2K3,MARCHF2,MARCHF8,MARK3,MGST3,MKRN1,MXI1,NARF,NFE2,PDZK1IP1,PGLS,PIGQ,PPP2R5B,PSMD9,RAD23A,RIOK3,RNF19A,SEC14L1,SLC10A3,SLC25A37,SLC4A1,SLC66A2,SLC7A11,SMOX,SNCA,TMEM9B,TRIM58,TSPAN5
HALLMARK_MTORC1_SIGNALING	200	Cases	100.0	 0.3692329	5.153922e-03	2.058775e-02	 69	ABCF2,ACACA,ACSL3,ARPC5L,BHLHE40,CCNF,CCT6A,CFP,CORO1A,CXCR4,DAPP1,DHCR24,DHFR,EBP,ERO1A,ETF1,FKBP2,GBE1,GLA,GLRX,GSR,HK2,HPRT1,HSPA4,HSPA5,IFRD1,ITGB2,MAP2K3,ME1,MTHFD2,MTHFD2L,NFIL3,NFKBIB,NMT1,NUPR1,P4HA1,PDAP1,PNO1,PRDX1,PSMB5,PSMC4,PSMC6,PSMD13,PSMD14,PSME3,PSMG1,RPN1,RRP9,SDF2L1,SLA,SLC1A4,SLC1A5,SLC2A3,SLC7A11,SLC7A5,SQSTM1,STC1,STIP1,TES,TM7SF2,TMEM97,TOMM40,TUBA4A,TUBG1,TXNRD1,USO1,WARS1,XBP1,YKT6
