leading_edge_gene	n_pathways	pathways
PSMC4	28	HALLMARK_MYC_TARGETS_V1,HALLMARK_MTORC1_SIGNALING,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMC6	28	HALLMARK_MYC_TARGETS_V1,HALLMARK_MTORC1_SIGNALING,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMA1	27	HALLMARK_MYC_TARGETS_V1,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,BIOCARTA_PROTEASOME_PATHWAY,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMB2	27	HALLMARK_MYC_TARGETS_V1,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,BIOCARTA_PROTEASOME_PATHWAY,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMB3	27	HALLMARK_MYC_TARGETS_V1,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,BIOCARTA_PROTEASOME_PATHWAY,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMD11	27	REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,WP_VEGFAVEGFR2_SIGNALING_PATHWAY,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMD13	27	HALLMARK_MTORC1_SIGNALING,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMD14	27	HALLMARK_MYC_TARGETS_V1,HALLMARK_MTORC1_SIGNALING,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMD3	27	HALLMARK_MYC_TARGETS_V1,REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
PSMD4	27	REACTOME_INNATE_IMMUNE_SYSTEM,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,WP_PARKINUBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,REACTOME_INFECTIOUS_DISEASE,REACTOME_METABOLISM_OF_POLYAMINES,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,WP_VEGFAVEGFR2_SIGNALING_PATHWAY,KEGG_PROTEASOME,REACTOME_METABOLISM_OF_RNA,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,WP_PROTEASOME_DEGRADATION,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_PROGRAMMED_CELL_DEATH,REACTOME_SIGNALING_BY_NOTCH,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,REACTOME_SIGNALING_BY_HEDGEHOG,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_ABC_TRANSPORTER_DISORDERS,REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT
